ubigeo,periodo,irsip,irsip_bruto,contrib_rezago,contrib_ejecucion,contrib_canon,contrib_mineria
101001,2021-08-01,23.23,-0.0010810856386903496,0,-0.01928283898305085,0.0182017533443605,0
101001,2021-09-01,21.48,-0.013568694369759899,0,-0.017159957627118645,0.0035912632573587466,0
101001,2021-10-01,24.77,0.009938106856673914,0,-0.016266807834833245,0.02620491469150716,0
101001,2021-11-01,25.28,0.013562775993783497,0,-0.012642138697723663,0.02620491469150716,0
101001,2021-12-01,17.79,-0.039954727312416685,0,-0.06621651667548968,0.026261789363072996,0
101001,2022-01-01,27.12,0.026703111916115206,0,-0,0.026703111916115206,0
101001,2022-02-01,27.13,0.026731429385344004,0,-0,0.026731429385344004,0
101001,2022-03-01,9.68,-0.09789261132062436,0,-0.12465325569084172,0.026760644370217353,0
101001,2022-04-01,6.48,-0.12075280720092073,0,-0.1475505558496559,0.02679774864873517,0
101001,2022-05-01,7.94,-0.1103164715223164,0,-0.1371185812599259,0.026802109737609506,0
101001,2022-06-01,4.52,-0.13471547859403024,0,-0.16151879301217575,0.02680331441814552,0
101001,2022-07-01,4.94,-0.131708770865504,0,-0.15851296982530438,0.02680419895980037,0
101001,2022-08-01,6.2,-0.12269197602451609,0,-0.14949550026469033,0.026803524240174233,0
101001,2022-09-01,8.33,-0.1074888731599282,0,-0.13428957120169402,0.026800698041765825,0
101001,2022-10-01,8.66,-0.1051788030703098,0,-0.1145749073583907,0.009396104288080893,0
101001,2022-11-01,12.66,-0.07661754498057163,0,-0.08601958708311276,0.009402042102541131,0
101001,2022-12-01,19.78,-0.02576755614306797,0,-0.03483218634197988,0.009064630198911914,0
101001,2023-01-01,25.91,0.01804610776411284,0,-0,0.01804610776411284,0
101001,2023-02-01,25.9,0.017984831790693535,0,-0,0.017984831790693535,0
101001,2023-03-01,25.9,0.017942766457644723,0,-0,0.017942766457644723,0
101001,2023-04-01,26.82,0.024548102408394085,0,-0,0.024548102408394085,0
101001,2023-05-01,26.82,0.024566392031294484,0,-0,0.024566392031294484,0
101001,2023-06-01,26.83,0.024606791873223125,0,-0,0.024606791873223125,0
101001,2023-07-01,27.37,0.028475809007545858,0,-0,0.028475809007545858,0
101001,2023-08-01,27.38,0.02851071386002436,0,-0,0.02851071386002436,0
101001,2023-09-01,27.38,0.028556074164835295,0,-0,0.028556074164835295,0
101001,2023-10-01,27.67,0.03058574621338951,0,-0,0.03058574621338951,0
101001,2023-11-01,27.67,0.03062030603015924,0,-0,0.03062030603015924,0
101001,2023-12-01,26.87,0.024916635475691458,0,-0.005743386243386243,0.0306600217190777,0
101001,2024-01-01,7.7,-0.11197638315534927,0,-0.1442915343915344,0.03231515123618511,0
101001,2024-02-01,12.61,-0.07695652980758436,0,-0.1093010582010582,0.03234452839347384,0
101001,2024-03-01,15.79,-0.05422764849926528,0,-0.0865925925925926,0.03236494409332732,0
101001,2024-04-01,19.56,-0.0273346079447283,0,-0.06008465608465609,0.03275004813992779,0
101001,2024-05-01,16.53,-0.048975441326498954,0,-0.08173280423280424,0.032757362906305286,0
101001,2024-06-01,19.01,-0.031211972782898147,0,-0.06397248677248678,0.03276051398958863,0
101001,2024-07-01,21.73,-0.011782656029243145,0,-0.04506349206349206,0.03328083603424892,0
101001,2024-08-01,18.89,-0.03210909022999242,0,-0.06538624338624338,0.03327715315625096,0
101001,2024-09-01,18.87,-0.032199676000026385,0,-0.06547460317460317,0.033274927174576786,0
101001,2024-10-01,21.78,-0.01141780398735958,0,-0.04656560846560847,0.03514780447824889,0
101001,2024-11-01,21.45,-0.013802950177786863,0,-0.04895132275132275,0.03514837257353589,0
101001,2024-12-01,19.5,-0.02776518037459102,0,-0.06291216931216932,0.035146988937578304,0
101001,2025-01-01,28.51,0.0366149271158273,0,-0,0.0366149271158273,0
101001,2025-02-01,28.51,0.03659969109204958,0,-0,0.03659969109204958,0
101001,2025-03-01,20.57,-0.020105673803617413,0,-0.0566969857218403,0.03659131191822289,0
101001,2025-04-01,17.61,-0.04124122716580416,0,-0.07886356425171867,0.03762233708591451,0
101001,2025-05-01,16.21,-0.051225711571296344,0,-0.08884294024325755,0.037617228671961205,0
101001,2025-06-01,11.56,-0.0844551668293671,0,-0.12549286092014808,0.04103769409078097,0
101001,2025-07-01,14.58,-0.06283659956832602,0,-0.10412109994711793,0.04128450037879191,0
101001,2025-08-01,16.7,-0.04772603062120984,0,-0.08901956636700159,0.04129353574579175,0
101001,2025-09-01,18.43,-0.03535362861709404,0,-0.07665573770491804,0.041302109087824,0
101001,2025-10-01,20.33,-0.021793132390594806,0,-0.06305552617662613,0.041262393786031325,0
101001,2025-11-01,18.33,-0.03609162257941536,0,-0.07736224219989424,0.04127061962047888,0
101001,2025-12-01,19.2,-0.02990176470533131,0,-0.07118032786885246,0.04127856316352115,0
101001,2026-01-01,28.99,0.040066876147734715,0,-0,0.040066876147734715,0
101001,2026-02-01,29.24,0.041857169399317634,0,-0,0.041857169399317634,0
101002,2019-01-01,NA,NA,NA,-0,NA,NA
101002,2019-02-01,NA,NA,0,-0.14208395721925135,NA,NA
101002,2019-03-01,NA,NA,0,-0.11118449197860963,NA,NA
101002,2019-04-01,NA,NA,0,-0.15476524064171124,NA,NA
101002,2019-05-01,NA,NA,0,-0.15887326203208557,NA,NA
101002,2019-06-01,NA,NA,0,-0.14547754010695188,NA,NA
101002,2019-07-01,NA,NA,0,-0.0979673796791444,NA,NA
101002,2019-08-01,NA,NA,0,-0.10216470588235295,NA,NA
